,id,gender,masterCategory,subCategory,articleType,productDisplayName,price,sellers,sold,filename,link
0,59263,Women,Accessories,Watches,Watches,Titan Women Silver Watch,1481,Sanguine Skincare,592,59263.jpg,http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg
1,29114,Men,Accessories,Socks,Socks,Puma Men Pack of 3 Socks,1404,Transit Random,572,29114.jpg,http://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg
2,30039,Men,Accessories,Watches,Watches,Skagen Men Black Watch,407,Strat Security,1192,30039.jpg,http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg
3,9204,Men,Footwear,Shoes,Casual Shoes,Puma Men Future Cat Remix SF Black Casual Shoes,1439,Blue Smoke,587,9204.jpg,http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg
4,21977,Women,Accessories,Bags,Handbags,Murcia Women Casual Brown Handbag,983,Spicy Dinner,668,21977.jpg,http://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg
5,39988,Men,Footwear,Shoes,Casual Shoes,Gas Men Europa White Shoes,1411,Sanguine Skincare,777,39988.jpg,http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg
6,58183,Women,Accessories,Bags,Handbags,Rocky S Women White Handbag,666,Sanguine Skincare,668,58183.jpg,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg
7,29742,Women,Accessories,Bags,Handbags,Kiara Women Teal Handbag,1062,Friend Random,1365,29742.jpg,http://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg
8,8580,Men,Apparel,Topwear,Waistcoat,Scullers Men  Grey Waistcoat,1051,Spicy Dinner,256,8580.jpg,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg
9,3168,Men,Footwear,Shoes,Sports Shoes,Nike Men's Incinerate MSL White Blue Shoe,1126,Bed Random,1362,3168.jpg,http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg
10,18005,Men,Apparel,Bottomwear,Shorts,Puma Men Long Logo Black Bermuda,1340,Ten Fold Security,1375,18005.jpg,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg
11,17871,Men,Apparel,Innerwear,Briefs,Levis Men Boxer Maroon Brief,1022,GenosisX,30,17871.jpg,http://assets.myntassets.com/v1/images/style/properties/155353efc674d253e30c213ca07bbb0b_images.jpg
12,59435,Men,Footwear,Shoes,Formal Shoes,Arrow Men Black Formal Shoes,1228,Unique Trends,240,59435.jpg,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg
13,6628,Men,Footwear,Shoes,Sports Shoes,ADIDAS Men's Lowell White Silver Shoe,412,GenosisX,1009,6628.jpg,http://assets.myntassets.com/v1/images/style/properties/0707b75d2d44e9cec9d27c944294ddbe_images.jpg
14,26538,Men,Footwear,Shoes,Casual Shoes,ID Men Red Shoes,496,XYZ,414,26538.jpg,http://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg
15,54118,Women,Footwear,Shoes,Heels,Rocia Women Black Flats,327,Transit Random,597,54118.jpg,http://assets.myntassets.com/v1/images/style/properties/8d6fd53f28e010658cdf5c14c43d0cb0_images.jpg
16,19123,Men,Footwear,Flip Flops,Flip Flops,Lotto Men XL Water Man Silver Slippers,936,XYZ,741,19123.jpg,http://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg
17,43369,Men,Footwear,Flip Flops,Flip Flops,Reebok Men Black Possession Flip Flops,768,Unique Trends,474,43369.jpg,http://assets.myntassets.com/v1/images/style/properties/647838a2e988ab55b76c9aa9ddd15ad7_images.jpg
18,39716,Women,Apparel,Dress,Dresses,Arrow Woman Women Blue Dress,1242,Clear Prints,1444,39716.jpg,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg
19,25349,Men,Apparel,Innerwear,Briefs,Levis Men Red Brief,1074,Strat Security,751,25349.jpg,http://assets.myntassets.com/v1/images/style/properties/07f0136ab41d3167b3d1e8b84cfc5107_images.jpg
20,55802,Women,Apparel,Loungewear and Nightwear,Night suits,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,429,Clear Prints,577,55802.jpg,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg
21,22950,Unisex,Accessories,Watches,Watches,Fastrack Unisex Black Dial Watch 9915PP13,743,Unique Trends,1211,22950.jpg,http://assets.myntassets.com/v1/images/style/properties/1de1449cc15d68bc4e53fac49a1e0e18_images.jpg
22,23882,Men,Footwear,Shoes,Sports Shoes,Fila Men Destiny Grey Sports Shoes,764,Friend Random,1387,23882.jpg,http://assets.myntassets.com/v1/images/style/properties/498da65eeee9a23f2049449258384d55_images.jpg
23,11518,Women,Footwear,Shoes,Heels,Catwalk Women Gun Metal Grey Heels,562,Sanguine Skincare,1424,11518.jpg,http://assets.myntassets.com/v1/images/style/properties/cea14ca6ae7273963babfa80798aa61c_images.jpg
24,13841,Unisex,Accessories,Watches,Watches,ADIDAS Unisex Three Small Dials White Watches,1288,XYZ,90,13841.jpg,http://assets.myntassets.com/v1/images/style/properties/f9f0f53a996cd6df9e48e4e685e25047_images.jpg
25,28200,Men,Accessories,Eyewear,Sunglasses,Ray-Ban Men Active Lifestyle Copper Sunglasses,978,Bed Random,406,28200.jpg,http://assets.myntassets.com/v1/images/style/properties/Ray-Ban-Men-Active-Lifestyle-Copper-Sunglassesb7761297ec669a622453f898fce8759f_images.jpg
26,30462,Women,Apparel,Innerwear,Bra,Lovable Women All Day Long Black Bra,1425,GenosisX,234,30462.jpg,http://assets.myntassets.com/v1/images/style/properties/cef99b09020adbc2a0d7e5f9889ce9c4_images.jpg
27,25382,Men,Apparel,Innerwear,Innerwear Vests,Levis Men White Innerwear Vest,805,Bed Random,640,25382.jpg,http://assets.myntassets.com/v1/images/style/properties/Levis-Men-White-Innerwear-Vest_ead823677896c7f737a55a7750d809c7_images.jpg
28,4140,Women,Footwear,Shoes,Casual Shoes,Skechers Women Green Shoe,967,XYZ,1326,4140.jpg,http://assets.myntassets.com/v1/images/style/properties/7de650b81e8fd8be54794b6f466f3b8e_images.jpg
29,36795,Men,Accessories,Watches,Watches,Maxima Men Ssteele Silver Dial Watch,473,Blue Smoke,392,36795.jpg,http://assets.myntassets.com/v1/images/style/properties/1223bc5aa8de555c058dbafa61b4c6cf_images.jpg
30,17072,Women,Accessories,Belts,Belts,Lino Perros Women Weaved  Grey Belt,1110,Sanguine Skincare,1002,17072.jpg,http://assets.myntassets.com/v1/images/style/properties/3f475c2e490c2e2c653f10aa5a4a4506_images.jpg
31,30650,Men,Apparel,Topwear,Tshirts,Nike Men Printed Black T-shirt,449,Blue Smoke,1100,30650.jpg,http://assets.myntassets.com/v1/images/style/properties/75c8932f3b5a274c73e3c94f95540d7b_images.jpg
32,32563,Women,Apparel,Bottomwear,Trousers,ONLY Women directoire blue Trousers,721,Sanguine Skincare,160,32563.jpg,http://assets.myntassets.com/v1/images/style/properties/ONLY-Women-directoire-blue-Trousers_9ad40a06ae4b8c071f84e12599c1c9b7_images.jpg
33,58980,Women,Personal Care,Fragrance,Deodorant,Colour me Women Flowers Deo,1268,Friend Random,222,58980.jpg,http://assets.myntassets.com/v1/images/style/properties/Colour-me-Women-Flowers-Deo_bbdd019aace399d86a7f5c4ba11f6881_images.jpg
