id,gender,masterCategory,subCategory,articleType,productDisplayName,price,sellers,quantity,filename,ratings,returned,sales
59263,Women,Accessories,Watches,Watches,Titan Women Silver Watch,1481,Sanguine Skincare,592,59263.jpg,5,24,841208
29114,Men,Accessories,Socks,Socks,Puma Men Pack of 3 Socks,1404,Transit Random,572,29114.jpg,3,3,798876
30039,Men,Accessories,Watches,Watches,Skagen Men Black Watch,407,Strat Security,1192,30039.jpg,5,0,485144
9204,Men,Footwear,Shoes,Casual Shoes,Puma Men Future Cat Remix SF Black Casual Shoes,1439,Blue Smoke,587,9204.jpg,3,9,831742
21977,Women,Accessories,Bags,Handbags,Murcia Women Casual Brown Handbag,983,Spicy Dinner,668,21977.jpg,2,27,630103
39988,Men,Footwear,Shoes,Casual Shoes,Gas Men Europa White Shoes,1411,Sanguine Skincare,777,39988.jpg,2,11,1080826
58183,Women,Accessories,Bags,Handbags,Rocky S Women White Handbag,666,Sanguine Skincare,668,58183.jpg,1,17,433566
29742,Women,Accessories,Bags,Handbags,Kiara Women Teal Handbag,1062,Friend Random,1365,29742.jpg,3,18,1430514
8580,Men,Apparel,Topwear,Waistcoat,Scullers Men  Grey Waistcoat,1051,Spicy Dinner,256,8580.jpg,2,10,258546
3168,Men,Footwear,Shoes,Sports Shoes,Nike Men's Incinerate MSL White Blue Shoe,1126,Bed Random,1362,3168.jpg,3,16,1515596
18005,Men,Apparel,Bottomwear,Shorts,Puma Men Long Logo Black Bermuda,1340,Ten Fold Security,1375,18005.jpg,5,22,1813020
17871,Men,Apparel,Innerwear,Briefs,Levis Men Boxer Maroon Brief,1022,GenosisX,30,17871.jpg,3,19,11242
59435,Men,Footwear,Shoes,Formal Shoes,Arrow Men Black Formal Shoes,1228,Unique Trends,240,59435.jpg,4,2,292264
6628,Men,Footwear,Shoes,Sports Shoes,ADIDAS Men's Lowell White Silver Shoe,412,GenosisX,1009,6628.jpg,4,13,410352
26538,Men,Footwear,Shoes,Casual Shoes,ID Men Red Shoes,496,XYZ,414,26538.jpg,5,4,203360
54118,Women,Footwear,Shoes,Heels,Rocia Women Black Flats,327,Transit Random,597,54118.jpg,4,26,186717
19123,Men,Footwear,Flip Flops,Flip Flops,Lotto Men XL Water Man Silver Slippers,936,XYZ,741,19123.jpg,4,4,689832
43369,Men,Footwear,Flip Flops,Flip Flops,Reebok Men Black Possession Flip Flops,768,Unique Trends,474,43369.jpg,2,18,350208
39716,Women,Apparel,Dress,Dresses,Arrow Woman Women Blue Dress,1242,Clear Prints,1444,39716.jpg,2,17,1772334
25349,Men,Apparel,Innerwear,Briefs,Levis Men Red Brief,1074,Strat Security,751,25349.jpg,4,10,795834
55802,Women,Apparel,Loungewear and Nightwear,Night suits,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,429,Clear Prints,577,55802.jpg,2,18,239811
22950,Unisex,Accessories,Watches,Watches,Fastrack Unisex Black Dial Watch 9915PP13,743,Unique Trends,1211,22950.jpg,5,15,888628
23882,Men,Footwear,Shoes,Sports Shoes,Fila Men Destiny Grey Sports Shoes,764,Friend Random,1387,23882.jpg,1,12,1050500
11518,Women,Footwear,Shoes,Heels,Catwalk Women Gun Metal Grey Heels,562,Sanguine Skincare,1424,11518.jpg,4,29,783990
13841,Unisex,Accessories,Watches,Watches,ADIDAS Unisex Three Small Dials White Watches,1288,XYZ,90,13841.jpg,5,20,90160
28200,Men,Accessories,Eyewear,Sunglasses,Ray-Ban Men Active Lifestyle Copper Sunglasses,978,Bed Random,406,28200.jpg,1,14,383376
